,Average,Maximum,Minimum,Position,Round,Standard Deviation,Strategy
0,0.8851224184036255,0.9954233169555664,0.5454545617103577,Pre,63,0.14713370900892225,centralround
1,0.9649237256783706,1.0,0.7070707082748413,Post,63,0.08195195695758375,centralround
2,0.8712396163206834,0.9994279146194458,0.39393940567970276,Pre,63,0.1918367019579111,stdround
3,0.9566126374097971,1.0,0.6565656661987305,Post,63,0.09908050542815008,stdround
4,0.8702990366862371,0.9965674877166748,0.5252525210380554,Pre,63,0.15679733289671297,stdround_p2p
5,0.9628173754765437,1.0,0.7171717286109924,Post,63,0.08203240271755631,stdround_p2p
6,0.8757533476902888,0.9982837438583374,0.46464645862579346,Pre,63,0.1783294781647254,weightround
7,0.9599773150223953,1.0,0.6767676472663879,Post,63,0.0915169079745437,weightround
8,0.8819406628608704,0.9982837438583374,0.5555555820465088,Pre,63,0.14339329444060137,weightround_p2p
9,0.9653427738409776,1.0,0.7070707082748413,Post,63,0.08061006698905009,weightround_p2p
10,0.963341080225431,1.0,0.6969696879386902,Pre,63,0.08263953588052624,localround
11,0.9624911042360159,1.0,0.6969696879386902,Post,63,0.08243401736745569,localround
