,Average,Maximum,Minimum,Position,Round,Standard Deviation,Strategy
0,0.946813459528909,5.78371178476434,0.012772993416994715,Pre,63,1.7513388337359044,centralround
1,0.24795358890031197,1.8385670136923742,5.460243014910737e-06,Post,63,0.5539104947870551,centralround
2,1.706152279887034,10.265149718836733,0.005359077678870769,Pre,63,3.516343881945324,stdround
3,0.19659280669078474,1.4492822728975854,6.819753000306287e-11,Post,63,0.41748340230534225,stdround
4,0.9690997348120329,5.992605435220819,0.014046982889061258,Pre,63,1.7157674565267387,stdround_p2p
5,0.19351985690068838,1.600650880071852,3.936087646323797e-06,Post,63,0.43844529224943957,stdround_p2p
6,1.1160881520011559,7.01121217326114,0.006314063805917484,Pre,63,2.1480269856071454,weightround
7,0.22744715002683588,1.778749952412615,3.3287864134690525e-06,Post,63,0.5188614597118045,weightround
8,0.8767810342373437,4.768611280541671,0.008158457534814126,Pre,63,1.498677502894647,weightround_p2p
9,0.2376369195989933,2.0706939841761733,2.222909030647837e-05,Post,63,0.5629535015933794,weightround_p2p
10,0.2520972336244309,2.118860890166928,1.9845427261349518e-08,Pre,63,0.5612008818238264,localround
11,0.253153055041318,2.1246313807940242,2.4960204756864284e-08,Post,63,0.5625475549185563,localround
