,Average,Final Value,Maximum,Minimum,Position,Standard Deviation,Strategy,User
0,0.9894941318780184,0.9928176999092102,0.9933701753616333,0.9790055155754089,Post,0.0023081040479336246,centraluser,0
1,0.8509323170874268,0.9524862170219421,0.9607734680175781,0.12486188113689423,Pre,0.14274054242444406,centraluser,0
2,0.9960772087797523,0.9957627058029175,0.9989407062530518,0.9894067645072937,Post,0.0019159557107933849,centraluser,1
3,0.8056971656624228,0.8898305296897888,0.9110169410705566,0.23516948521137238,Pre,0.11003792140399686,centraluser,1
4,0.9924730062484741,0.9933554530143738,0.9966777563095093,0.9833887219429016,Post,0.002523631008847846,centraluser,2
5,0.7427498621400446,0.7718715667724609,0.8305647969245911,0.19712071120738983,Pre,0.08396322921877149,centraluser,2
6,0.8733552601188421,0.8815789222717285,0.9473684430122375,0.7894737124443054,Post,0.03277114658729946,centraluser,4
7,0.48540296382270753,0.5526315569877625,0.5789473652839661,0.2368421107530594,Pre,0.07032542250939997,centraluser,4
8,0.9969545863568783,0.9990205764770508,0.9990205764770508,0.9931439757347107,Post,0.0013755495221625157,centraluser,5
9,0.6759610683657229,0.8619000911712646,0.8814887404441833,0.2546522915363312,Pre,0.16348659995139006,centraluser,5
10,0.9998573064804077,0.9988584518432617,1.0,0.9988584518432617,Post,0.0003775315665417093,centraluser,6
11,0.926352025475353,0.9760273694992065,0.9885844588279724,0.16552510857582092,Pre,0.1117688982488973,centraluser,6
12,0.6264204541221261,0.6666666865348816,0.7070707082748413,0.5252525210380554,Post,0.046785103260944275,centraluser,7
13,0.41477273032069206,0.4444444477558136,0.5151515007019043,0.1818181872367859,Pre,0.04645624033361207,centraluser,7
14,0.9948069658130407,0.9955979585647583,0.9977989792823792,0.9809244275093079,Post,0.0021907030360986263,centraluser,8
15,0.8307731091044843,0.9273660778999329,0.9449743032455444,0.21496698260307312,Pre,0.10588509659265902,centraluser,8
16,0.9989237701520324,0.9987244606018066,1.0,0.9948979616165161,Post,0.0008796305742811324,centraluser,9
17,0.8966637402772903,0.9630101919174194,0.9744898080825806,0.2946428656578064,Pre,0.10851996191929451,centraluser,9
18,0.9968097126111388,0.9968668222427368,0.9989556074142456,0.9864229559898376,Post,0.0019929828912747926,centraluser,10
19,0.8797078975476325,0.9806788563728333,0.9806788563728333,0.22819843888282776,Pre,0.10486268945418478,centraluser,10
20,0.9942556647583842,0.9938004016876221,0.9962802529335022,0.983260989189148,Post,0.0015966395011562063,centraluser,11
21,0.9473128537647426,0.9814011454582214,0.9814011454582214,0.17482951283454895,Pre,0.10291922360639014,centraluser,11
22,0.998329896479845,0.9969167709350586,1.0,0.9928057789802551,Post,0.0011982697897586598,centraluser,12
23,0.9244122628588229,0.9794450402259827,0.9845837354660034,0.17368961870670319,Pre,0.12798340334163905,centraluser,12
24,0.9999910611659288,1.0,1.0,0.9994279146194458,Post,7.094979588947615e-05,centraluser,13
25,0.9714137678965926,0.9942792057991028,0.9982837438583374,0.20480549335479736,Pre,0.1026149595050491,centraluser,13
26,0.9895718256011605,0.990607738494873,0.9944751262664795,0.9751381278038025,Post,0.0029888214048029416,stduser,0
27,0.8317161609884351,0.9580110311508179,0.9580110311508179,0.12486188113689423,Pre,0.1396850965201901,stduser,0
28,0.995431681163609,0.9957627058029175,0.9989407062530518,0.9883474707603455,Post,0.002382557299199794,stduser,1
29,0.8073358044493943,0.9014830589294434,0.9078390002250671,0.23516948521137238,Pre,0.1048328314629479,stduser,1
30,0.9923691796138883,0.9944629073143005,0.9955703020095825,0.9833887219429016,Post,0.0021809829186892503,stduser,2
31,0.7463316700886935,0.8637873530387878,0.8637873530387878,0.19712071120738983,Pre,0.10398655425785698,stduser,2
32,0.8579358560964465,0.8552631735801697,0.9210526347160339,0.7631579041481018,Post,0.03427843604021371,stduser,4
33,0.4274259915109724,0.5263158082962036,0.5394737124443054,0.21052631735801697,Pre,0.08492298259424322,stduser,4
34,0.9977350747212768,0.9980411529541016,1.0,0.9911851286888123,Post,0.0014981958189970363,stduser,5
35,0.674614348448813,0.92164546251297,0.9236043095588684,0.2546522915363312,Pre,0.17776086289472165,stduser,5
36,0.9995540827512741,1.0,1.0,0.9977169036865234,Post,0.0006575427467711751,stduser,6
37,0.9073380404151976,0.9817351698875427,0.9954338073730469,0.16552510857582092,Pre,0.1120844500931113,stduser,6
38,0.619791666045785,0.6464646458625793,0.7373737096786499,0.5151515007019043,Post,0.052558241313113166,stduser,7
39,0.35479798167943954,0.42424243688583374,0.4343434274196625,0.1818181872367859,Pre,0.04097217239506229,stduser,7
