,Average,Final Value,Maximum,Minimum,Position,Standard Deviation,Strategy,User
0,0.04740902359195248,0.05326287086630532,0.07077980131740653,0.030164887890340605,Post,0.00783421082200921,centraluser,0
1,0.7635825174059969,0.1977801336711324,13.046754957167483,0.1977801336711324,Pre,1.6203117490436159,centraluser,0
2,0.024430182963843465,0.005229013841057494,0.057359403443546925,0.005229013841057494,Post,0.009948533838982518,centraluser,1
3,0.911768732529323,0.3710054630824065,11.903960405769995,0.28475044768745617,Pre,1.4725734854690724,centraluser,1
4,0.03272015403393011,0.023364781426191836,0.048631573887748164,0.02033102235102929,Post,0.00672766859369443,centraluser,2
5,1.3012543510973602,0.8613875242298755,15.232148817871364,0.5728097176499013,Pre,1.8079138130363137,centraluser,2
6,0.5956632760966099,1.1824699012856734,1.2430327283708673,0.26888641558195414,Post,0.25407837463176774,centraluser,4
7,5.598491944568721,5.78371178476434,9.638183694136771,3.8022397944801734,Pre,0.9809892228356725,centraluser,4
8,0.006820222497620388,0.00017388034962830743,0.02258477148928987,0.00017388034962830743,Post,0.005134329397981929,centraluser,5
9,1.3349904961168884,0.3617568457687053,10.70185988703624,0.2792620016708897,Pre,1.4869625715162138,centraluser,5
10,0.0008981249354219372,0.00018556249692604657,0.00952492627435103,3.8494826171326204e-05,Post,0.0016265390101791628,centraluser,6
11,0.3603661531062792,0.042555498341991474,11.696580930387594,0.03438884775966542,Pre,1.444845973471151,centraluser,6
12,1.5239389935188523,1.8385670136923742,2.0056825695615825,1.1249352272110755,Post,0.24692351781019858,centraluser,7
13,4.251093749747132,4.116315692362159,10.686823353622898,3.2649202394967127,Pre,0.925943256769608,centraluser,7
14,0.02198061275160122,0.030083445033719722,0.0756860516302297,0.007879536769726997,Post,0.010296990668483632,centraluser,8
15,0.7287407595807669,0.19522224393449805,11.475046064078764,0.19522224393449805,Pre,1.4002729990502012,centraluser,8
16,0.008262970908977643,0.0005358661797706048,0.029329284508112695,0.0002122237460033997,Post,0.006240342801534069,centraluser,9
17,0.45838658383085273,0.160230342099177,10.503291694485412,0.07337941434614513,Pre,1.3120631394060553,centraluser,9
18,0.012152392139626735,0.013960237211069502,0.039784269112432206,0.003336818482917526,Post,0.006780790984694638,centraluser,10
19,0.5073835502409532,0.05200574787488017,13.58724217427306,0.05054976783264866,Pre,1.6702104483417857,centraluser,10
20,0.06697973250779275,0.06894751245107525,0.08789255840340279,0.04937646289106663,Post,0.008463562945255656,centraluser,11
21,0.38407263133049163,0.10911113534715103,13.253182523529942,0.09585548467098078,Pre,1.6285417512423859,centraluser,11
22,0.004777103568551199,0.006611110627248688,0.03289059135910108,0.000303595839511497,Post,0.004944896397215124,centraluser,12
23,0.3858969243328878,0.04471956898250358,10.067396815732229,0.023557026201130715,Pre,1.2959592175833228,centraluser,12
24,7.567769666180535e-05,5.460243014910737e-06,0.000930608109894671,6.819753000306287e-11,Post,0.0001698933330789237,centraluser,13
25,0.24176603218915008,0.012772993416994715,11.776433713376113,0.0034958926967785533,Pre,1.4692273681738206,centraluser,13
26,0.042649873153627074,0.0516838899763069,0.06708956294338018,0.025794552066456655,Post,0.00935585711448428,stduser,0
27,0.921077551127103,0.24991631402945383,13.046754957167483,0.2433952086620568,Pre,1.6377246218793695,stduser,0
28,0.029210580600283247,0.03749191749090181,0.057429153750390316,0.006851823981010365,Post,0.009548432315249286,stduser,1
29,0.9413520320699948,0.36431085652971673,11.903960405769995,0.28143994975835085,Pre,1.4625041408338577,stduser,1
30,0.03416132429757054,0.05234589695315554,0.06671136583927031,0.020067527755547793,Post,0.010201987256203403,stduser,2
31,1.28139193497231,0.7875068936897143,15.232148817871364,0.6114112652285418,Pre,1.7943426759435486,stduser,2
32,0.6907407642881337,0.8079963483308491,1.1376603214364303,0.37035951175187765,Post,0.2511241668560794,stduser,4
33,8.066538495648848,10.265149718836733,11.216927427994577,5.107130640431454,Pre,1.7544332893694325,stduser,4
34,0.008926591883260171,0.005145248525446691,0.021941950518946207,0.0001618122399574142,Post,0.0039901230871246425,stduser,5
35,1.362174192054451,0.23325848363405577,10.70185988703624,0.23325848363405577,Pre,1.5438361206119944,stduser,5
36,0.0014290764490346125,0.0019407737551013619,0.010354420273251298,2.1844567856903494e-05,Post,0.001733482176403305,stduser,6
37,0.39802604994786556,0.04821946997340071,11.696580930387594,0.008619745792480841,Pre,1.4351516595696097,stduser,6
38,1.3346128496106224,1.4492822728975854,1.5203439370550291,1.1923980014492768,Post,0.07501664048778155,stduser,7
39,6.946132548002884,9.603835250392105,10.751477992895877,4.648214282411518,Pre,1.6332545145878492,stduser,7
40,0.02247041447007929,0.04726084822135903,0.05620606208146848,0.006777186707591029,Post,0.012159953606149987,stduser,8
41,0.8397841866384637,0.2606693247438395,11.475046064078764,0.2606693247438395,Pre,1.3837455350981633,stduser,8
42,0.005237364583437147,0.002797146873197357,0.027349580068031933,8.836341443524523e-05,Post,0.005769062411997188,stduser,9
43,0.4017420706130888,0.11867392860467033,10.503291694485412,0.0388607687449881,Pre,1.2951018082769283,stduser,9
44,0.01506673061772133,0.019406065282798382,0.039784289345232766,0.0030913615289962135,Post,0.006676796122551685,stduser,10
45,0.6306341104024713,0.09461224890203403,13.58724217427306,0.06650589328385675,Pre,1.6713978945303145,stduser,10
46,0.06288358405118888,0.07382052119134394,0.09116640524310268,0.038307897984791645,Post,0.009166012536562872,stduser,11
47,0.3962845646185512,0.10681103365420741,13.253182523529942,0.08454859893715906,Pre,1.623825728311689,stduser,11
