,Average,Maximum,Minimum,Position,Round,Standard Deviation,Strategy
0,0.9018381610512733,0.930232584476471,0.8880000114440918,Pre,31,0.013990209654142024,centralround
1,0.8979878798127174,0.9224806427955627,0.8799999952316284,Post,31,0.013916061799456815,centralround
2,0.910867303609848,0.9545454382896423,0.8799999952316284,Pre,31,0.02839170278895791,stdround
3,0.8973590582609177,0.9469696879386902,0.8015872836112976,Post,31,0.04270497783859541,stdround
4,0.8986836597323418,0.9236640930175781,0.8805969953536987,Pre,31,0.013827203872209816,stdround_p2p
5,0.8929685279726982,0.9147287011146545,0.8805969953536987,Post,31,0.012666639947065296,stdround_p2p
6,0.9061966091394424,0.930232584476471,0.8646616339683533,Pre,31,0.02108564592797996,weightround
7,0.9004270359873772,0.930232584476471,0.8646616339683533,Post,31,0.018702859206688113,weightround
8,0.9018527343869209,0.9370078444480896,0.8809523582458496,Pre,31,0.01895383790072866,weightround_p2p
9,0.9076490849256516,0.9448819160461426,0.8888888955116272,Post,31,0.019526344612118274,weightround_p2p
10,0.8032821044325829,0.8396946787834167,0.7480915784835815,Pre,31,0.02461376938074147,localround
11,0.8023279085755348,0.8396946787834167,0.7404580116271973,Post,31,0.02678686644012804,localround
