,Average,Maximum,Minimum,Position,Round,Standard Deviation,Strategy
0,0.6195738918861756,1.3884282073879664,0.05908429956502351,Pre,31,0.4191195514364436,centralround
1,0.5258962554995175,1.0800403802212877,0.14723427787525117,Post,31,0.27634318259692514,centralround
2,1.1808951327618176,4.6259160428433805,0.1378018359343193,Pre,31,1.344433893450743,stdround
3,0.6748967841721849,1.4629664915102023,0.16905863169165672,Post,31,0.40598952748212236,stdround
4,0.8621086591405831,2.1423097252845764,0.2876374998585116,Pre,31,0.6060719543176984,stdround_p2p
5,0.6580184003998106,1.3295955149399574,0.25876531591180896,Post,31,0.32188654706970793,stdround_p2p
6,0.8370652440861003,2.702448056803809,0.1992917342318421,Pre,31,0.7657269320300907,weightround
7,0.5554729365427121,0.912591402952233,0.2125713561888402,Post,31,0.2515419153341316,weightround
8,0.7866046276382894,1.6282737913339034,0.22512963533141733,Pre,31,0.4349281184015715,weightround_p2p
9,0.722254943864917,1.9014768434607465,0.4043056044217632,Post,31,0.4736334862762754,weightround_p2p
10,1.4531355127393246,2.9443688519233095,0.8753922416104203,Pre,31,0.6401459659975405,localround
11,1.45999291536755,2.950904920037869,0.8809721900357133,Post,31,0.6406139532652773,localround
