,Average,Maximum,Minimum,Position,Round,Standard Deviation,Strategy
0,0.8905579298734665,0.9411764740943909,0.7768595218658447,Pre,31,0.05089031598077856,centralround
1,0.9156602993607521,0.9411764740943909,0.8347107172012329,Post,31,0.03264529784521204,centralround
2,0.8964873924851418,0.971222996711731,0.7226890921592712,Pre,31,0.07113385236984589,stdround
3,0.9147812053561211,0.971222996711731,0.8235294222831726,Post,31,0.04027740330161132,stdround
4,0.8468112945556641,0.9420289993286133,0.5508474707603455,Pre,31,0.11999146604394602,stdround_p2p
5,0.9020126610994339,0.9492753744125366,0.8559321761131287,Post,31,0.029196195664878254,stdround_p2p
6,0.882541336119175,0.9359999895095825,0.7739130258560181,Pre,31,0.05499976168767301,weightround
7,0.9157603234052658,0.9359999895095825,0.886956512928009,Post,31,0.016414563808773912,weightround
8,0.89665537327528,0.9347826242446899,0.7964601516723633,Pre,31,0.04345637726528463,weightround_p2p
9,0.9086779877543449,0.9492753744125366,0.8495575189590454,Post,31,0.031334785775146895,weightround_p2p
10,0.8326703459024429,0.8913043737411499,0.75,Pre,31,0.04024263983366264,localround
11,0.8336173221468925,0.8913043737411499,0.75,Post,31,0.040513592152913426,localround
