,Average,Maximum,Minimum,Position,Round,Standard Deviation,Strategy
0,0.6036850679665804,0.9727891087532043,0.0,Pre,31,0.3340170475937053,centralround
1,0.9988425895571709,1.0,0.9907407164573669,Post,31,0.0030622201965550245,centralround
2,0.596371162449941,1.0,0.015037594363093376,Pre,31,0.3195356289289234,stdround
3,0.9961572661995888,1.0,0.9904761910438538,Post,31,0.00392016751167778,stdround
4,0.5809331182390451,1.0,0.1349206417798996,Pre,31,0.28285937183391313,stdround_p2p
5,0.997200034558773,1.0,0.9920634627342224,Post,31,0.003623309771724761,stdround_p2p
6,0.6715586194768548,0.9659863710403442,0.095238097012043,Pre,31,0.29033716483981575,weightround
7,0.9981343299150467,1.0,0.9850746393203735,Post,31,0.004936099073279201,weightround
8,0.9971954599022865,1.0,0.9919999837875366,Pre,31,0.0036336153047459695,weightround_p2p
9,1.0,1.0,1.0,Post,31,0.0,weightround_p2p
10,1.0,1.0,1.0,Pre,31,0.0,localround
11,1.0,1.0,1.0,Post,31,0.0,localround
